id,How many years of software engineering experience do you have? ,What is your current role ?,"On average, how many configuration options does your typical application have (application-specific) or use (3rd party library)? ",Do you have personal experience with creating new configuration options?,Where do you store your configuration options?,How do you access this configuration storage in the code?,How are the values of application-specific configuration options available in the code?,From where do you read your configuration options?,What is the most frequent profile of people adding new configuration options? ,Why?,Is the creation of configuration options planned beforehand?,How do you decide configuration default values?,How do you communicate newly created options and their possible values to the team ? ,Do you use any naming conventions to ensure a coherence between configuration option names?,How often do you face configuration errors? ,How difficult is it to debug an error which is due to a misconfigured option?,What artefacts do you use to fix a configuration error?,Where do you document configuration-related errors and their solutions? ,Are you always aware of the impact of changing one of the application-specific configuration options?,Which artefacts do you use to understand application-specific configuration parameters? ,Do the names or the default values of your application-specific configuration options change across time?,What do you do with dead configuration options that are no longer useful? ,How would you rate the quality of the documentation (text documents or online documentation) of application-specific configuration options in the systems you participated in their developments ?  ,How would you rate the quality of the comments of configuration options (used within configuration files to explain the meaning and possible values of options)? ,Please explain the factors that lead to that quality (your previous two answers) of comments and documentation ,Do you consider configuration options during code review? ,Which techniques do you use to assure the quality of configuration options?,What could reduce the most the complexity of the configuration of a software project?,Could you describe some important problems related to configuration (in terms of creation/management/maintenance or any other theme) that you faced during your current and/or previous experiences and how did you fix them ? ,What could you suggest as 3 good practices and 3 bad practices to a new development team in order to have a good configuration quality and to avoid configuration problems?
48,39,Academic,<10,Yes,.properties file,Via an IO library to read the configuration storage.,Via method/function accessors (for example getMyOption),We read configuration options in different places in the code,Any developer,I am the lead developer.,"No planning, options are added ad hoc",Ad hoc choices. It is up to the developer to decide.,Via Wiki or a web platform,No. We do not have any configuration options naming convention.,Never,1,Log file;Error message,Nowhere,"Yes, I know the impact of all the configuration options.",Documentation.;I understand configuration options from the source code,"No, they are almost stable","Remove them from the configuration files, and do not store them anywhere.",2,1,I don't understand the question.,We do not review configuration options nor source code.,Test different configuration values,Reduce the number of configuration options.,N/A,N/A
49,20,Manager,10<#<100,Yes,".properties file;.json file;In a table within the database used for the application;Environment variables (e.g., Bash);LDAP or another directory service (e.g., Zookeeper);Application main arguments",Via an IO library to read the configuration storage.;Via dedicated classes/functions that we developed for configuration access;Konsul-API (Network),As attributes/variables with the same name of its associated configuration option,We read configuration options in different places in the code,Any developer,"Developer knows code best, few checks from management side","No, they are juste extracted from hardcoded constants;No planning, options are added ad hoc",Client requirements.;Discussion between developers and architects.;Ad hoc choices. It is up to the developer to decide.,Via Wiki or a web platform;Textual documentation,"Yes. We do have a naming convention, but not all the developers respect it.",Often,2,Log file;Error message;Debug the code,In the commit message;In a Bug report (like Bugzilla);In the configuration file,"Yes, I know the impact of few configuration options.",Ask a colleague;Configuration option comments.;Configuration name is clear enough to be understood.;I understand configuration options from the source code,"No, they are almost stable",Just Comment them in the configuration file.,2,4,Errors documented in the code,We do not review configuration options at all. We only review code.,Test different configuration values,Allow only experienced people to modify configuration files.;Comment and document configuration options.;Planning ahead the creation of options.,"Mixing up options, sometimes badly documented, specific knowledge of certain developers",#NAME?
50,17,Architect,10<#<100,Yes,".properties file;.json file;Environment variables (e.g., Bash);Application main arguments",Via an IO library to read the configuration storage.;Via a 3rd party framework dedicated to configuration;Via dedicated classes/functions that we developed for configuration access,As attributes/variables with the same name of its associated configuration option,We read configuration options from a specific class/module,Any developer,Whoever is working in the task knows best what is needed,"No, they are juste extracted from hardcoded constants;No planning, options are added ad hoc",Ad hoc choices. It is up to the developer to decide.,Source code,"Yes. We do have a naming convention, and all the developers respect it.",Sometimes,1,Log file;Error message;Google the error;Stack Trace,Nowhere;In the error message,"Yes, I know the impact of the majority of configuration options.",Documentation.;Configuration name is clear enough to be understood.;I Google configuration names.,"No, they are almost stable","Remove them from the configurations files, the version control will remember them",2,1,It seems adequate when there are not many users. Popular open source projects need better documentation.,"Yes, we review both functional and technical configuration options.",We test the system as a whole after it has been deployed to an environment,Reduce the number of configuration files.;Reduce the number of configuration options.;All configuration changes must be done through version control,Our logging configuration was not logging all required context information. Comparing it to the configuration of other applications helped to find the parameter which was wrong.,Keep all configuration in version control (sensitive values encrypted). Automate all deployments and provisioning servers. Periodically delete and recreate servers to avoid configuration drift.
51,8,Developer,10<#<100,Yes,".properties file;In a table within the database used for the application;Environment variables (e.g., Bash);Application main arguments;Groovy Config format, YAML",Via an IO library to read the configuration storage.;Via a 3rd party framework dedicated to configuration;Via dedicated classes/functions that we developed for configuration access,As attributes/variables with the same name of its associated configuration option;Via method/function accessors (for example getMyOption),We read configuration options in different places in the code,Any developer,because we can,"No, they are juste extracted from hardcoded constants;No planning, options are added ad hoc",Architectural specifications.;Making tests until finding the optimal value for a parameter.,Textual documentation;Pull Request,No. We do not have any configuration options naming convention.,Sometimes,2,Log file;Error message;Documentation;Debug the code;Google the error;Stack Trace,Nowhere,"Yes, I know the impact of the majority of configuration options.",Documentation.;Ask a colleague;Configuration name is clear enough to be understood.;I understand configuration options from the source code;I Google configuration names.,"No, they are almost stable","We do not remove them, we keep them in the configuration files.",3,3,laziness,"Yes, we review both functional and technical configuration options.",Test different configuration values,Comment and document configuration options.,"not really, we don't have any problem with configuration",nope
52,10,Developer,<10,Yes,".properties file;In a table within the database used for the application;Environment variables (e.g., Bash);application preferences",Via an IO library to read the configuration storage.;Via dedicated classes/functions that we developed for configuration access,As attributes/variables with the same name of its associated configuration option;There is no clear mapping between options and code,We read configuration options from a specific class/module,Certain expert developers,Each configuration option should have a reason to exist,"No planning, options are added ad hoc",Client requirements.,single developer,No. We do not have any configuration options naming convention.,Never,2,Log file;Stack Trace,Nowhere,"Yes, I know the impact of all the configuration options.",Configuration name is clear enough to be understood.;I understand configuration options from the source code,"No, they are almost stable","Remove them from the configuration files, and do not store them anywhere.",1,1,My configuration options are obvious,"Yes, but we review only technical configuration options.",Default values are backed-up in a database to easily roll back.,Reduce the number of configuration files.;Reduce the number of configuration options.,"Minimize configurations, prefer single common solution.",N/A
53,25,Developer,10<#<100,No,Red/Black Tree,Via dedicated classes/functions that we developed for configuration access,From tables and/or maps containing configuration options and values,We read configuration options in different places in the code,Any developer,Easy to do,"Yes, they are defined in the architecture specifications",Discussion between developers and architects.,Textual documentation,No. We do not have any configuration options naming convention.,Sometimes,2,Log file;Error message;Stack Trace,In the commit message;In a Bug report (like Bugzilla),"Yes, I know the impact of only configuration used in the code I worked on.",Documentation.;Ask a colleague;Configuration option comments.;Configuration name is clear enough to be understood.,"No, they are almost stable",Version control,4,4,Reviews,"Yes, we review both functional and technical configuration options.",Test different configuration values,Reduce the configuration option dependencies;Comment and document configuration options.;Reduce the number of configuration options.;Planning ahead the creation of options.,none,none
54,25,Architect,10<#<100,Yes,.properties file;.xml file;.json file;.ini files;In a table within a database dedicated to configuration,Via a 3rd party framework dedicated to configuration;Via dedicated classes/functions that we developed for configuration access,As attributes/variables with the same name of its associated configuration option;Via method/function accessors (for example getMyOption),We read configuration options from a specific class/module,Architects and developers,Because they are the ones directly confronted with this task,"Yes, they are defined in the client specifications;No, they are juste extracted from hardcoded constants",Client requirements.;Architectural specifications.,Chat support (like Slack or Hangout);Via Wiki or a web platform,"Yes. We do have a naming convention, but not all the developers respect it.",Sometimes,4,Log file;Error message;Debug the code;Stack Trace,In a Bug report (like Bugzilla),"No, I'm not aware of the impact of changing options.",Documentation.;Configuration option comments.,"Yes, they change but not frequently",Just Comment them in the configuration file.,4,5,This all depends on how many developers depend on known the configuration options and how large the team is.,We do not review configuration options at all. We only review code.,We have tools to check correctness of the values;Using containers (like Docker) to limit the impact of configuration options.,Reduce the number of configuration files.;Comment and document configuration options.;Reduce the number of configuration options.,"Software by design is open and flexible, configurations are static by their nature.",In the space of one line? No.
55,7,Academic,10<#<100,Yes,".properties file;In a table within the database used for the application;Environment variables (e.g., Bash);Application main arguments",Via an IO library to read the configuration storage.;Via dedicated classes/functions that we developed for configuration access,Via method/function accessors (for example getMyOption),We read configuration options from a specific class/module,Any developer,Since it is easy to add new options (and turn them off),"No planning, options are added ad hoc",Ad hoc choices. It is up to the developer to decide.,"Via the program itself (e.g., via a --help option)",No. We do not have any configuration options naming convention.,Sometimes,3,Error message;Documentation;Debug the code;Google the error;Stack Trace,In a Wiki,"Yes, I know the impact of the majority of configuration options.",Configuration option comments.;Configuration name is clear enough to be understood.;I understand configuration options from the source code,"Yes, they change but not frequently","Remove them from the configuration files, and do not store them anywhere.",4,4,The program provides an option to output the possible configuration options.,"Yes, we review both functional and technical configuration options.",We have tools to check correctness of the values;We have a static analysis tool inspired by checkstyle to enforce configuration conventions.;Test different configuration values,Allow only few people to modify configuration files.;Comment and document configuration options.;Reduce the number of configuration options.,That configuration options require quite some maintenance effort to keep the number of options small., a
56,16,Sysadmin,"100<#<1,000",Yes,".properties file;.xml file;.json file;In a table within the database used for the application;In a table within a database dedicated to configuration;Environment variables (e.g., Bash);Application main arguments",Via an IO library to read the configuration storage.;Via a 3rd party framework dedicated to configuration;Via dedicated classes/functions that we developed for configuration access,As attributes/variables with the same name of its associated configuration option;From tables and/or maps containing configuration options and values;Via method/function accessors (for example getMyOption),multiple modules,Any developer,tradition,"Yes, they are defined in the client specifications;Yes, they are defined in the architecture specifications",Client requirements.;Discussion between developers and architects.;Ad hoc choices. It is up to the developer to decide.,Via Wiki or a web platform;Textual documentation,No. We do not have any configuration options naming convention.,Sometimes,3,Log file;Error message;Documentation;Debug the code;Google the error;Stack Trace,In the commit message;In a Wiki;In text document,"Yes, I know the impact of few configuration options.",Documentation.;Ask a colleague;Configuration option comments.;I understand configuration options from the source code,"Yes, they change but not frequently",Just Comment them in the configuration file.,3,2,not understand,"Yes, we review both functional and technical configuration options.",Test different configuration values,Reduce the number of configuration files.;Allow only few people to modify configuration files.;Comment and document configuration options.,"not docs, not logs, work app not understand ","good: 1-text logs, 2-documents, 3 modules/overlays
bad: 1-can't backuprestore conf 2 - not parseable log, 3 - no wiki/docs"
57,4,Developer,<10,No,".properties file;.xml file;.json file;Environment variables (e.g., Bash)",Via an IO library to read the configuration storage.;Via a 3rd party framework dedicated to configuration;Via dedicated classes/functions that we developed for configuration access,As attributes/variables with the same name of its associated configuration option,We read configuration options from a specific class/module,Only architects,"Config options tend to be dev ops issues. DevOps generate configs to help with deployment and generation of test environments, so it's mostly their job to develop configuration pipelines.","No planning, options are added ad hoc",Making tests until finding the optimal value for a parameter.,Textual documentation;Pull Request,No. We do not have any configuration options naming convention.,Sometimes,2,Error message;Documentation;Debug the code;Google the error,Nowhere,"Yes, I know the impact of only configuration used in the code I worked on.",Documentation.;Ask a colleague,"No, they are almost stable","We do not remove them, we keep them in the configuration files.",2,2,"We don't have a ton of configuration options present in our project, and for the most part they are handled by NPM and scripts. We actively try to avoid configuration, so the documentation about configs are sparse.",We do not review configuration options at all. We only review code.,Using containers (like Docker) to limit the impact of configuration options.,Reduce the number of configuration options.,I'm not sure,Using docker and setting up environments is likely a good step. 
58,15,All of them,"100<#<1,000",Yes,.properties file;.json file;Application main arguments;.yaml file,Via an IO library to read the configuration storage.;Via dedicated classes/functions that we developed for configuration access,There is no clear mapping between options and code,We read configuration options in different places in the code,Architects and developers,Because we believe our project should be as configurable as possible.,"No planning, options are added ad hoc",Ad hoc choices. It is up to the developer to decide.,Orally;Via Wiki or a web platform,"Yes. We do have a naming convention, and all the developers respect it.",Never,2,Log file;Error message;Debug the code;Stack Trace,In the commit message,"Yes, I know the impact of the majority of configuration options.",Documentation.;Configuration name is clear enough to be understood.;I understand configuration options from the source code;I Google configuration names.,"No, they are almost stable","Remove them from the configuration files, and do not store them anywhere.",3,3,Newer configuration options have become better documented but older ones are sort of lost in the days of past development.,"Yes, but we review only functional configuration options",We have tools to check correctness of the values;Test different configuration values,Reduce the number of configuration files.;Reduce the number of configuration options.,"We've usually faced the issue of changing configuration in realtime, meaning adjusting values while the software running. And since most configuration is stored in memory, this has become a difficult task to handle.","Good: Make sure to always have good configuration names, comment heavily in both in code and on the wiki, and make sure the software will run on first launch without having to configure anything. Bad: Don't expect your end users already know the software, don't lack on try...catch blocks for configuration errors (also include detailed error explanations), and try to stay away from ultra syntax sensitive configuration types."
59,11,Developer,"1,000<#<10,000",Yes,.xml file;.json file,Via dedicated classes/functions that we developed for configuration access,From tables and/or maps containing configuration options and values,We read configuration options from a specific class/module,Any developer,Developers adding new tooling features that can be configured,"No planning, options are added ad hoc",Discussion between developers and architects.;Ad hoc choices. It is up to the developer to decide.,Chat support (like Slack or Hangout);Textual documentation,No. We do not have any configuration options naming convention.,Sometimes,4,Log file;Debug the code,In a Bug report (like Bugzilla),"Yes, I know the impact of the majority of configuration options.",Documentation.,"Yes, they change but not frequently","Remove them from the configuration files, and do not store them anywhere.",3,4,"Concise explanation of the option's purpose, detailed explanation of output in some cases","Yes, we review both functional and technical configuration options.",Test different configuration values,Reduce the number of configuration files.;Reduce the configuration option dependencies;Comment and document configuration options.;Reduce the number of configuration options.,No,"Good: Concise documentation, source control configurations, have test coverage
Bad: Non-descriptive option names, overloading configuration options with multiple meanings, disconnect between UI and textual representation of options"
60,10,Academic,<10,No,".properties file;.json file;Environment variables (e.g., Bash)",Via an IO library to read the configuration storage.;Via dedicated classes/functions that we developed for configuration access,Via method/function accessors (for example getMyOption);There is no clear mapping between options and code,We read configuration options from a specific class/module,Any developer,Not specifically planned,"No planning, options are added ad hoc",Ad hoc choices. It is up to the developer to decide.,Orally;Textual documentation,No. We do not have any configuration options naming convention.,Sometimes,3,Log file;Error message;Debug the code;Stack Trace,In the commit message;In text document,"Yes, I know the impact of the majority of configuration options.",Documentation.;Ask a colleague;Configuration name is clear enough to be understood.;I understand configuration options from the source code,"Yes, they change but not frequently",Just Comment them in the configuration file.,2,3,Not paying enough attention to this problem,We do not review configuration options at all. We only review code.,None,Reduce the number of configuration files.;Reduce the configuration option dependencies;Comment and document configuration options.;Reduce the number of configuration options.;Planning ahead the creation of options.,dependencies between options and options that override other options,Don't know
61,15,Developer,"100<#<1,000",Yes,.properties file;.json file;In a table within the database used for the application,Via a 3rd party framework dedicated to configuration;Via dedicated classes/functions that we developed for configuration access,As attributes/variables with the same name of its associated configuration option;Via method/function accessors (for example getMyOption),We read configuration options from a specific class/module,Any developer,Devs. trying to decouple deployment from code activation need to create new config options.,"Yes, they are defined in the client specifications;No, they are juste extracted from hardcoded constants",Discussion between developers and architects.;Ad hoc choices. It is up to the developer to decide.,Via Wiki or a web platform;Textual documentation,"Yes. We do have a naming convention, and all the developers respect it.",Often,2,Log file;Error message;Debug the code,In a Wiki,"Yes, I know the impact of the majority of configuration options.",Documentation.;I understand configuration options from the source code,"No, they are almost stable","Remove them from the configuration files, and do not store them anywhere.",4,4,Alle configuration options that have no sane default and/or documentation usally do no pass the review.,"Yes, we review both functional and technical configuration options.",We have tools to check correctness of the values;We have a static analysis tool inspired by checkstyle to enforce configuration conventions.;Test different configuration values;Using containers (like Docker) to limit the impact of configuration options.,Reduce the configuration option dependencies;Comment and document configuration options.,"Config options not centralized but spread over all the code
Stupid defaults, or no defaults at all","Use sane defaults (eleement of least surprise)
Remove unused options
Think if you really need the flexibility of an config option"
62,1,Architect,<10,Yes,.json file;In a table within the database used for the application,Via dedicated classes/functions that we developed for configuration access,Via method/function accessors (for example getMyOption);There is no clear mapping between options and code,We read configuration options in different places in the code,Certain expert developers,Those with the most experience,"No, they are juste extracted from hardcoded constants",Client requirements.;Architectural specifications.;Discussion between developers and architects.,Chat support (like Slack or Hangout);Textual documentation;Pull Request,"Yes. We do have a naming convention, but not all the developers respect it.",Sometimes,4,Error message;Documentation;Debug the code;Google the error;Stack Trace,In text document;In the configuration file,"Yes, I know the impact of few configuration options.",Documentation.;Ask a colleague;Configuration option comments.,"No, they are almost stable","Remove them from the configuration files, and do not store them anywhere.",3,2,"Sometimes hard to understand, not covering all cases or missing examples","Yes, we review both functional and technical configuration options.",Test different configuration values;Using containers (like Docker) to limit the impact of configuration options.,Reduce the number of configuration files.;Allow only experienced people to modify configuration files.;Reduce the configuration option dependencies;Comment and document configuration options.;Planning ahead the creation of options.,One bug produced a new option instead of fixing the existing options which lead to the bug...,"Good Practices: Documentation, convention over configuration, planning!
Bad Practices: Doing everything adhoc, adding functionalities while implementing others (ups, we need that and that and that)"
63,10,Developer,10<#<100,Yes,.properties file;.xml file;.ini files;In a table within the database used for the application;Application main arguments;the choice of config store depends on application,Via an IO library to read the configuration storage.;Via dedicated classes/functions that we developed for configuration access,As attributes/variables with the same name of its associated configuration option;From tables and/or maps containing configuration options and values;thru a configuration class,We read configuration options from a specific class/module,Architects and developers,"architect for users configs, developers add maintenance configs","Yes, they are defined in the architecture specifications;No planning, options are added ad hoc;some planned, some added as program evolves",Architectural specifications.;Discussion between developers and architects.;Making tests until finding the optimal value for a parameter.;Ad hoc choices. It is up to the developer to decide.;the choice depends on the specific config param,Chat support (like Slack or Hangout);By mail;Textual documentation,"Yes. We do have a naming convention, but not all the developers respect it.",Sometimes,1,Log file;Error message;Debug the code,In the commit message;In text document;change logfile,"Yes, I know the impact of only configuration used in the code I worked on.",Documentation.;Configuration option comments.;Configuration name is clear enough to be understood.;I understand configuration options from the source code,"No, they are almost stable","removed from config file, commented in the config class code",3,3,"config docs is scattered in in-app html docs, in the config class, and in online docs","Yes, we review both functional and technical configuration options.",Test different configuration values,Use a separate software to manage configuration options.;config framework,"config hierarchy that follows the class spaces (framework),
config runtime correctness (validation)",abstract configuration - no bad practice suggested
64,3,Academic,10<#<100,Yes,".properties file;.json file;Environment variables (e.g., Bash);Application main arguments",Via an IO library to read the configuration storage.;Via dedicated classes/functions that we developed for configuration access,As attributes/variables with the same name of its associated configuration option;From tables and/or maps containing configuration options and values,We read configuration options from a specific class/module,Any developer,Because developers are typically smart enough to know what they're doing,"Yes, they are defined in the architecture specifications",Ad hoc choices. It is up to the developer to decide.,Via Wiki or a web platform;Textual documentation,No. We do not have any configuration options naming convention.,Sometimes,1,Log file;Error message;Debug the code,In a Wiki;In the configuration file,"Yes, I know the impact of all the configuration options.",Ask a colleague;Configuration option comments.;Configuration name is clear enough to be understood.,"Yes, they change but not frequently",Just Comment them in the configuration file.,4,3,Could be more documentation,"Yes, we review both functional and technical configuration options.",Security implications of configuration options are tested,Reduce the number of configuration files.;Reduce the configuration option dependencies;Reduce the number of configuration options.,At first had a hard time figuring out the config options,Don't overcomplicate; practices are nothing.
65,15,"Developer, manager",<10,Yes,".properties file;.ini files;Environment variables (e.g., Bash);Application main arguments;Yaml file",Via an IO library to read the configuration storage.;Via dedicated classes/functions that we developed for configuration access,As attributes/variables with the same name of its associated configuration option;There is no clear mapping between options and code,We read configuration options from a specific class/module,Any developer,?,"No planning, options are added ad hoc",Discussion between developers and architects.,Textual documentation;Pull Request,"Yes. We do have a naming convention, but not all the developers respect it.",Sometimes,2,Log file;Error message,In the commit message,"Yes, I know the impact of the majority of configuration options.",Documentation.;Configuration option comments.,"No, they are almost stable","Remove them from the configuration files, and do not store them anywhere.",3,3,...,"Yes, we review both functional and technical configuration options.",We have tools to check correctness of the values,Reduce the number of configuration files.;Comment and document configuration options.,No,Versioning configs
66,9,Developer,10<#<100,Yes,Docker compose file and corresponding .env which then get passed as system properties to a Java app,Standard Java System Properties interface,Via method/function accessors (for example getMyOption),We read configuration options in different places in the code,Certain expert developers,Small startup. projects usually have a dedicated dev.  Sorry for the disappointing answer.,"Yes, they are defined in the architecture specifications;No, they are juste extracted from hardcoded constants",Making tests until finding the optimal value for a parameter.;Ad hoc choices. It is up to the developer to decide.,Textual documentation,"Yes. We do have a naming convention, and all the developers respect it.",Sometimes,3,Log file;Error message;Debug the code;Stack Trace,Nowhere,"No, I'm not aware of the impact of changing options.",Documentation.;Configuration option comments.;Configuration name is clear enough to be understood.;I understand configuration options from the source code;I Google configuration names.,"Yes, they change but not frequently","Remove them from the configuration files, and do not store them anywhere.",2,2,Prefer convention and having it be as self documenting as possible.,"Yes, we review both functional and technical configuration options.",Test different configuration values;Using containers (like Docker) to limit the impact of configuration options.,Standard convention language per language that places properties and their documentation relatively in the same place.,"Wish there was a bigger push to create standard best practices, don't care if I agree with it, just don't want to think about it.",just be consistent.
67,6,Academic,<10,No,"Environment variables (e.g., Bash)",Flags on the executable,As attributes/variables with the same name of its associated configuration option,It's generated at startup,Any developer,I know the code best ,"No planning, options are added ad hoc",Client requirements.;Ad hoc choices. It is up to the developer to decide.,Orally;Chat support (like Slack or Hangout),No. We do not have any configuration options naming convention.,Never,1,Log file;Error message;Output is not what I expect,Nowhere,"Yes, I know the impact of the majority of configuration options.",I understand configuration options from the source code,"Yes, they change but not frequently","We do not remove them, we keep them in the configuration files.",1,1,"I have never bothered to document them. The development group is small (i.e. me), so I know (most of the time) what everything does.",We do not review configuration options nor source code.,None,Use a separate software to manage configuration options.,None,Pull Request
68,25,Architect,10<#<100,Yes,.properties file;Application main arguments,Via dedicated classes/functions that we developed for configuration access,Via method/function accessors (for example getMyOption),We read configuration options from a specific class/module,Any developer,"Application is a collection of tools, each tool may need specific options, depending on its actual function.","No planning, options are added ad hoc",Ad hoc choices. It is up to the developer to decide.,"Textual documentation;Each tool can auto-generate a ""help"" screen that shows options and default values, where applicable.","Yes. We do have a naming convention, but not all the developers respect it.",Never,2,Log file;Error message;Stack Trace,In text document,"Yes, I know the impact of the majority of configuration options.",Documentation.;I understand configuration options from the source code,"No, they are almost stable","Remove them from the configuration files, and do not store them anywhere.",4,1,"We try our best to maintain comprehensive documentation, but we keep it separate from the code so the code remains easy to access and read by developers.",We do not review configuration options nor source code.,Test different configuration values,Comment and document configuration options.,"On another project, configuration as stored in a dedicated class and required re-compilation with any change.  We moved it to an external file, and even allowed overrides from environment variables as needed.","Good: document each option and provide usage examples.  Good: be consistent when naming options.  Good: using code as the notation (Groovy, JSON, YAML, XML) can help organize configuration files and also tools can validate them.  Bad: cram too many loosly-related variations in a single option.  Bad: don't invent a new language for configuration options."
69,5,Developer,10<#<100,Yes,.properties file;.json file,Via dedicated classes/functions that we developed for configuration access,As attributes/variables with the same name of its associated configuration option,We read configuration options in different places in the code,Any developer,Closed source,"Yes, they are defined in the client specifications",Client requirements.,Textual documentation,"Yes. We do have a naming convention, and all the developers respect it.",Never,1,Stack Trace;Automatic tool to find misconfigured options,In the commit message,"Yes, I know the impact of all the configuration options.",Documentation.;Configuration option comments.;Configuration name is clear enough to be understood.;I understand configuration options from the source code,"No, they never change. Once, they are created, they do not change anymore.","Remove them from the configuration files, and do not store them anywhere.",5,5,Straight to the point,We do not review configuration options nor source code.,Default values are backed-up in a database to easily roll back.,Comment and document configuration options.;Planning ahead the creation of options.,No problems,Make them simple
70,25,Manager,10<#<100,Yes,.properties file;Application main arguments,Via dedicated classes/functions that we developed for configuration access,From tables and/or maps containing configuration options and values,We read configuration options from a specific class/module,Any developer,"Once we have a pattern, any one can create new configuration options.","No planning, options are added ad hoc",Client requirements.,Textual documentation,"Yes. We do have a naming convention, and all the developers respect it.",Sometimes,2,Log file;Error message;Documentation;Debug the code;Stack Trace,In the commit message;In text document,"Yes, I know the impact of the majority of configuration options.",Documentation.;Configuration option comments.;Configuration name is clear enough to be understood.;I understand configuration options from the source code,"No, they are almost stable","Remove them from the configuration files, and do not store them anywhere.",4,4,Good documentation and comments,"Yes, we review both functional and technical configuration options.",Test different configuration values,Reduce the number of configuration files.;Comment and document configuration options.;Reduce the number of configuration options.;Planning ahead the creation of options.,Using Java Preferences API,"Consistent naming, good default values"
71,10,Developer,<10,Yes,.json file;Application main arguments,Via an IO library to read the configuration storage.;Via dedicated classes/functions that we developed for configuration access,Via method/function accessors (for example getMyOption),We read configuration options from a specific class/module,Certain expert developers,I am the sole developer,"Yes, they are defined in the client specifications",Ad hoc choices. It is up to the developer to decide.,Textual documentation,No. We do not have any configuration options naming convention.,Sometimes,2,Error message;Stack Trace,Nowhere,"Yes, I know the impact of all the configuration options.",I understand configuration options from the source code,"Yes, they change but not frequently","Remove them from the configuration files, and do not store them anywhere.",1,1,"An attitude of ""just read the source code""",We do not review configuration options at all. We only review code.,Security implications of configuration options are tested,Planning ahead the creation of options.,Creating custom config formats was a problem. I switched to JSON instead.,"No idea, too inexperienced to speak"
72,35,Architect,<10,No,".properties file;In a table within the database used for the application;Environment variables (e.g., Bash)",Via a 3rd party framework dedicated to configuration;Via dedicated classes/functions that we developed for configuration access,From tables and/or maps containing configuration options and values;Via method/function accessors (for example getMyOption),We read configuration options in different places in the code,Any developer,Configuration options are created by whoever needs them.,"No, they are juste extracted from hardcoded constants",Discussion between developers and architects.,Via Wiki or a web platform,"Yes. We do have a naming convention, and all the developers respect it.",Sometimes,3,Log file;Error message;Debug the code;Stack Trace,In a Bug report (like Bugzilla),"Yes, I know the impact of few configuration options.",Documentation.;Configuration option comments.,"No, they are almost stable","Remove them from the configuration files, and do not store them anywhere.",3,3,"People are sometimes lazy about creating documentation because they only think about their current needs, rather than the needs of people in the future.","Yes, we review both functional and technical configuration options.",Not sure I understand the question.,Comment and document configuration options.,"Often people create configuration options, but don't bother documenting them properly. Therefore, people are too afraid to ever change them again.","Good, code reviews, pull requests with new options, keep changing naming to fit understanding. Bad decentralized configuration "
73,33,Developer,10<#<100,Yes,.properties file;.xml file,Via an IO library to read the configuration storage.;Via dedicated classes/functions that we developed for configuration access,As attributes/variables with the same name of its associated configuration option;From tables and/or maps containing configuration options and values;Via method/function accessors (for example getMyOption),We read configuration options in different places in the code,Any developer,Our collaboration doesn't have any hierarchy:  All the developers work on the full-stack of each project,"Yes, they are defined in the architecture specifications;No, they are juste extracted from hardcoded constants;No planning, options are added ad hoc",Client requirements.;Discussion between developers and architects.;Ad hoc choices. It is up to the developer to decide.,Via Wiki or a web platform;Textual documentation;Pull Request,"Yes. We do have a naming convention, but not all the developers respect it.",Sometimes,2,Log file;Error message;Documentation;Stack Trace;Automatic tool to find misconfigured options,In a Bug report (like Bugzilla);In text document;Nowhere;Non-Wiki web,"Yes, I know the impact of the majority of configuration options.",Documentation.;Ask a colleague;Configuration option comments.;Configuration name is clear enough to be understood.;I understand configuration options from the source code,"Yes, they change but not frequently","We do not remove them, we keep them in the configuration files.",3,4,Feedback during reviews,We do not review configuration options at all. We only review code.,We have tools to check correctness of the values;We have a static analysis tool inspired by checkstyle to enforce configuration conventions.;Test different configuration values,Reduce the number of configuration options.,..,..
74,30,Academic,"100<#<1,000",Yes,".xml file;.json file;In a table within the database used for the application;Environment variables (e.g., Bash);Application main arguments",Via a 3rd party framework dedicated to configuration;Via dedicated classes/functions that we developed for configuration access,As attributes/variables with the same name of its associated configuration option;From tables and/or maps containing configuration options and values,We read configuration options from a specific class/module,Any developer,Because they needed it and didn't want to change the default behaviour,"No, they are juste extracted from hardcoded constants;No planning, options are added ad hoc",Ad hoc choices. It is up to the developer to decide.,By mail;Pull Request,No. We do not have any configuration options naming convention.,Sometimes,1,Error message;Debug the code;Stack Trace,In the commit message;In a Bug report (like Bugzilla),"Yes, I know the impact of only configuration used in the code I worked on.",Configuration option comments.;Configuration name is clear enough to be understood.;I understand configuration options from the source code,"No, they are almost stable",Just Comment them in the configuration file.,4,4,Most popular opensource projects have well documented code,"Yes, we review both functional and technical configuration options.",Test different configuration values,Reduce the number of configuration files.;Reduce the configuration option dependencies;Reduce the number of configuration options.,...,...
